 ,Libro,Autor,Género,Fecha,Idioma,Rating,Autora
Afghanistan,Dancing in the Mosque: An Afghan Mother's Letter to Her Son,Homeira Qaderi,,,Inglés,,1
Albania,The General of the Dead Army,Ismail Kadare,,,Inglés,,
Algeria,El Arte de Perder,Alice Zeniter,,,Español,,1
Andorra,,,,,,,
Angola,Teoría General del Olvido,José Eduardo Agalusa,"Fiction, Historical Fiction, Contemporary, Literary Fiction",29/01/2026,Español,"4,00",
Antigua & Deps,A Small Place,Jamaica Kincaid,"Fiction, Art, Contemporary",,Inglés,,1
Argentina,El Nervio Óptico,María Gainza,"Fiction, Art, Short Stories, Contemporary, Novel",1/2/2026,Español,"4,00",1
Armenia,Three Apples Fell From the Sky,Narine Abgaryan,,,Inglés,,1
Australia,He Died With a Felafel in His Hand,John Birmingham,"Nonfiction, Humor, Memoir, Autobiography",16/01/2026,Inglés,"2,00",
Austria,The Trial,Franz Kafka,"Classics, Fiction, Philosophy",14/01/2026,Inglés,"4,00",
Azerbaijan,Dried Up in Meetings and Other Short Stories,Mir Jalal,"Fiction, Short Stories",19/3/2026,Inglés,"4,00",
Bahamas,The Measure of a Man: A Spiritual Autobiography,Sidney Poitier,,,Inglés,,
Bahrain,Yummah,Sarah A. Al Shafei,,,Inglés,,1
Bangladesh,Lajja: Shame,Talisma Nasrin,,,Inglés,,1
Barbados,How The One Armed Sister Sweeps Her House,Cherie Jones,"Fiction, Novel",30/3/2026,Inglés,"3,00",1
Belarus,"Like Water, Like Fire",Vera Rich,,,Inglés,,1
Belgium,Cheese,Willem Elsschot,"Novel, Fiction, Humor",07/01/2026,Inglés,"2,00",
Belize,Beka Lamb,Zee Edgell,,,Inglés,,1
Benin,Amazons of Black Sparta: The Women Warriors of Dahomey,Stanley B. Alpern,,,Inglés,,
Bhutan,The Talisman of Good Fortune and Other Stories from Rural Bhutan,Rinzin Rinzin,,,Inglés,,
Bolivia,"Borracho Estaba, Pero Me Acuerdo",Víctor Hugo Viscarra,"Autobiography, Narrative, Non-Fiction",02/01/2026,Español,"2,00",
Bosnia Herzegovina,The Bridge on the Drina,Ivo Andric,,,Inglés,,
Botswana,The N°1 Ladies' Detective Agency,Alexander McCall Smith,"Mystery, Novel, Crime, Fiction",22/03/2026,Inglés,"2,50",
Brazil,Memorias Póstumas de Blas Cubas,Joaquim Machado de Assis,,,Español,,
Brunei,Written in Black,K.H. Lim,,,Inglés,,
Bulgaria,Born of Guilt,Joanna Elmy,,,Inglés,,1
Burkina,The Parachute Drop,Norbert Zongo,"Fiction, Historical Fiction, Literary Fiction, Satire",15/3/2026,Inglés,"3,50",
Burundi,Small Country,Gaël Faye,"Fiction, Historical Fiction, Literary Fiction",22/02/2026,Inglés,"4,00",
Cambodia,Tum Teav,George Chigas*,Romance,7/3/2026,Inglés,,
Cameroon,How Beautiful We Were,Imbolo Mbue,,,Inglés,,
Canada,The Beauty of the Husband,Anne Carson,"Poetry, Fiction, Essays, Romance, Contemporary",11/01/2026,Inglés,"4,00",1
Cape Verde,The Last Will and Testament of Senhor da Silva Araújo,Germano Almeida,,,Inglés,,
Central African Rep,"Co-Wives, Co-Widows",Adrienne Yabouza,"Fiction, Literary Fiction, Contemporary",06/01/2026,Inglés,"2,50",1
Chad,Told by Starlight in Chad,Joseph Brahim Seid,,,Inglés,,
Chile,El Viento Conoce Mi Nombre,Isabel Allende,"Fiction, Historical Fiction, Contemporary, Novel",8/3/2026,Español,"3,00",1
China,Twenty Fragments of a Ravenous Youth,Xiaolu Guo,,,Inglés,,1
Colombia,El Tiempo de las Amazonas,Marvel Moreno,,,Español,,1
Comoros,Deranged As I Am,Ali Zamir,"Fiction, Novel",12/04/2026,Español,"3,00",
Congo,,,,,,,
Congo {Democratic Rep},Tram 83,Fiston Mwanza Mujila,,,Inglés,,
Costa Rica,Mamita Yunai,Carlos Luis Fallas,,,Español,,
Croatia,On the Edge of Reason,Miroslav Krleža,,,Inglés,,
Cuba,Soledad Absoluta: Poemas Seleccionados,Dulce María Loynaz,,,Español,,1
Cyprus,"A Watermelon, a Fish and a Bible",Christy Lefteri,,,Inglés,,1
Czech Republic,El Libro de los Amores Ridículos,Milan Kundera,"Fiction, Short Stories, Romance, Philosophy, Contemporary",8/2/2026,Español,"3,00",
Denmark,**On the Calculation of Volume IV,Solvej Balle,,,Inglés,,1
Djibouti,Why Do You Dance When You Walk?,Abdourahman A. Waberi,"Fiction, Novel",15/01/2026,Inglés,"3,00",
Dominica,,,,,,,
Dominican Republic,In the Time of the Butterflies,Julia Álvarez,,,Inglés,,1
East Timor,The Crossing: A Story of East Timor,Luis Cardoso,,,Inglés,,
Ecuador,Pelea de Gallos,María Fernanda Ampuero,,,Español,,1
Egypt,El Sendero,Naguib Mahfouz,"Fiction, Novel, Romance, Crime",13/04/2026,Español,"3,00",
El Salvador,Tierra de Infancia,Claudia Lars,"Poetry, Memoir",05/04/2026,Español,"4,00",1
Equatorial Guinea,By Night the Mountain Burns,Juan Tomás Ávila Laurel,,,Inglés,,
Eritrea,Silence Is My Mother Tongue,Sulaiman Addonia,,,Inglés,,
Estonia,Professor Martens' Departure,Jaan Kross,,,Inglés,,
Ethiopia,All Our Names,Dinaw Mengestu,,,Inglés,,
Fiji,A Disappearance in Fiji,Nilima Rao,,,Inglés,,1
Finland,The Summer Book,,,,Español,,1
France,La Elegancia del Erizo,Muriel Barbery,,,Español,,1
Gabon,Mema,Daniel M. Mengara,,,Inglés,,
Gambia,Reading the Ceiling,Dayo Forster,,,Inglés,,1
Georgia,The Eighth Life,Nino Haratischwili,,,Inglés,,1
Germany,Schopenhauer como Educador,Friedrich Nietzsche,"Philosophy, Nonfiction",15/2/2026,Español,,
Ghana,Transcendent Kingdom,Yaa Gyasi,"Fiction, Contemporary, Literary Fiction",06/01/2026,Inglés,"3,5",1
Greece,The Symposium,Plato,,,Inglés,,
Grenada,The Ladies Are Upstairs,Merle Collins,"Short Stories, Contemporary",22/01/2026,Inglés,"2,00",1
Guatemala,El Señor Presidente,Miguel Ángel Asturias,,,Español,,
Guinea,The Dark Child,Camara Laye,,,Inglés,,
Guinea-Bissau,Anos Ku Ta Manda,Yasmina Nuny,,,Inglés,,1
Guyana,The Sly Company of People Who Care,Rahul Bhattacharya,,,Inglés,,
Haiti,,,,,,,
Honduras,"Don't Be Afraid, Gringo",Elvia Alvarado,,,Inglés,,1
Hungary,The Door,Magda Szabó,,,Inglés,,1
Iceland,The Blue Fox,Sjón,,,Inglés,,
India,The God of Small Things,Arundhati Roy,,,Inglés,,1
Indonesia,Man Tiger,Eka Kurniawan,,,Inglés,,
Iran,Embroideries,Marjane Satrapi,,,Inglés,,1
Iraq,Frankenstein in Baghdad,Ahmed Saadawi,,,Inglés,,
Ireland {Republic},The Commitments,Brian O'Nolan,"Fiction, Classics, Humor, Novel",15/03/2026,Inglés,"4,00",
Italy,The Leopard,Giuseppe Tomasi di Lampedusa,,,Inglés,,
Ivory Coast,Allah Is Not Obliged,Ahmadou Kourouma,,,Inglés,,
Jamaica,How to Say Babylon,Safiya Sinclair,,,Inglés,,1
Japan,La Dependienta,Sayaka Murata,,,Español,,1
Jordan,,,,,,,
Kazakhstan,The Dead Lake,Hamid Ismailov,,,,,
Kenya,The River Between,Ngũgĩ wa Thiong'o,,,Inglés,,
Kiribati,Waa in Storms,Teweiariki Teaero,"Poetry, Fiction, Memoir",06/02/2026,Inglés,"2,50",
Korea North,The Girl with Seven Names: A North Korean Defector's Story,Hyeonseo Lee,,,Inglés,,1
Korea South,The Vegetarian,Han Kang,,,,,1
Kosovo,,,,,,,
Kuwait,,,,,,,
Kyrgyzstan,,,,,,,
Laos,How to Pronounce Knife: Stories,Souvankham Thammavongsa,"Fiction, Short Stories, Contemporary",24/01/2026,Inglés,3,1
Latvia,Soviet Milk,Nora Ikstena,,,Inglés,,1
Lebanon,The Prophet,Kahlil Gibran,,,Inglés,,
Lesotho,,,,,,,
Liberia,"The Dragons, the Giant, the Women: A Memoir",Wayétu Moore,,,Inglés,,1
Libya,The Arab of the Future,Riad Sattouf,"Graphic Novel, Nonfiction, Memoir",22/01/2026,Inglés,"4,00",
Liechtenstein,The State in the Third Millennium,Prince Hans-Adam II,"Economics, Politics, Nonfiction, History, Political Science",6/3/2026,Inglés,,
Lithuania,,,,,,,
Luxembourg,,,,,,,
Macedonia,My Husband,Rumena Bužarovska,"Short Stories, Fiction, Feminism, Contemporary",,,,1
Madagascar,Return to the Enchanted Island,Johary Ravaloson,"Fiction, Fantasy, Mythology",21/04/2026,Inglés,"2,50",
Malawi,soft magic.,Upile Chisala,"Poetry, Feminism, Nonfiction",,,,1
Malaysia,,,,,,,
Maldives,,,,,,,
Mali,,,,,,,
Malta,,,,,,,
Marshall Islands,,,,,,,
Mauritania,,,,,,,
Mauritius,,,,,,,
Mexico,Mudanza,Verónica Gerber Bicecci,Nonfiction,11/01/2026,Español,"3,00",1
Micronesia,,,,,,,
Moldova,El verano en que mi madre tuvo los ojos verdes,Tatiana Țîbuleac,,,,,1
Monaco,,,,,,,
Mongolia,,,,,,,
Montenegro,,,,,,,
Morocco,Hope And Other Dangerous Pursuits,Laila Lalami,,,Inglés,,1
Mozambique,,,,,,,
Myanmar,,,,,,,
Namibia,,,,,,,
Nauru,,,,,,,
Nepal,,,,,,,
Netherlands,,,,,,,
New Zealand,,,,,,,
Nicaragua,Azul...,Ruben Darío,,,Español,,
Niger,,,,,,,
Nigeria,Cursed Daughters,Oyinkan Braithwaite,,,Inglés,,1
Norway,A Doll's House,Henrik Ibsen,,,,,
Oman,,,,,,,
Pakistan,,,,,,,
Palau,,,,,,,
Palestine,,,,,,,
Panama,,,,,,,
Papua New Guinea,,,,,,,
Paraguay,,,,,,,
Peru,,Mario Vargas Llosa,,,,,
Philippines,Patron Saints of Nothing,Randy Ribay,,,,,
Poland,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Fiction, Mystery, Thriller, Contemporary, Crime",04/04/2026,Inglés,"3,50",1
Portugal,Las Intermitencias de la Muerte,José Saramago,,,Español,,
Qatar,The Girl Who Fell to Earth,Sophia Al-Maria,,,Inglés,,1
Romania,,,,,,,
Russia,La Muerte de Iván Ilich,León Tolstói,"Classics, Fiction, Philosophy, Novel",07/01/2026,Español,"4,00",
Rwanda,,,,,,,
St Kitts & Nevis,,,,,,,
St Lucia,,,,,,,
Saint Vincent & the Grenadines,,,,,,,
Samoa,,,,,,,
San Marino,,,,,,,
Sao Tome & Principe,,,,,,,
Saudi Arabia,,,,,,,
Senegal,Hombres Puros,Mohamed Mbougar Sarr,,,Español,,
Serbia,,,,,,,
Seychelles,,,,,,,
Sierra Leone,,,,,,,
Singapore,,,,,,,
Slovakia,Seeing People Off,Jana Beňová,"Fiction, Contemporary, Novel",9/3/2026,Inglés,"2,50",1
Slovenia,I Saw Her That Night,Drago Jančar,,,Inglés,,
Solomon Islands,,,,,,,
Somalia,,,,,,,
South Africa,Born a Crime,Trevor Noah,"Nonfiction, Memoir, Autobiography, Humor",27/01/2026,Inglés,"5,00",
South Sudan,,,,,,,
Spain,,,,,,,
Sri Lanka,,,,,,,
Sudan,,,,,,,
Suriname,,,,,,,
Swaziland,,,,,,,
Sweden,A Man Called Ove,Fredrik Backman,,,Inglés,,
Switzerland,Homo Faber,Max Frisch,,,Inglés,,
Syria,Death Is Hard Work,Khaled Khalifa,,,Inglés,,
Taiwan,Notes of a Crocodile,Qiu Miaojin,"Fiction, Romance, Novel",22/02/2026,Inglés,"2,50",1
Tajikistan,The City Where Dreams Come True,Gulsifat Shakhidi,"Fiction, Short Stories",2/4/2026,Inglés,"2,50",1
Tanzania,,,,,,,
Thailand,Bright,Duanwad Pimwana,,,Inglés,,1
Togo,,,,,,,
Tonga,,,,,,,
Trinidad & Tobago,,,,,,,
Tunisia,The Ardent Swarm,Yamen Manai,,,Inglés,,
Turkey,Madonna in a Fur Coat,Sabahattin Ali,"Fiction, Romance, Novel",25/2/2026,Inglés,"3,00",
Turkmenistan,The Tale of Aypi,Ak Welsapar,"Fiction, Supernatural, Fantasy, Historical Fiction",11/3/2026,Inglés,"3,00",
Tuvalu,Where the Hell Is Tuvalu?,Philip Ells,"Nonfiction, Travel, Memoir",19/04/2026,Inglés,"3,00",
Uganda,,,,,,,
Ukraine,,,,,,,
United Arab Emirates,Temporary People,Deepak Unnikrishnan,,,Inglés,,
United Kingdom,Emma,Jane Austen,"Classics, Fiction, Novel, Romance",15/02/2026,Inglés,"3,50",1
United States,This Side of Paradise,F. Scott Fitzgerald,"Classics, Fiction, Novel, Romance, Historical Fiction",01/01/2026,Inglés,"3,00",
Uruguay,"Pequeña Memoria: La Vida, Ese Torrente",María Elia Topolansky,"Memoir, History, Contemporary",20/3/2026,Español,"5,00",1
Uzbekistan,The Railway,Hamid Ismailov,,,Inglés,,
Vanuatu,"Sista, Stanap Strong! A Vanuatu Women's Anthology",Mikaela Nyman,,,Inglés,,1
Vatican City,***Ángeles y Demonios,Dan Brown,,,Español,,
Venezuela,Simpatía,Rodrigo Blanco Calderón,,,Español,,
Vietnam,The Sympathizer,Viet Thanh Nguyen,,,Inglés,,
Yemen,The Hostage,Zayd Mutee' Dammaj,"Fiction, Novel, Historical Fiction",06/04/2026,Inglés,"3,00",
Zambia,On Morrison,Namwali Serpell,,,Inglés,,1
Zimbabwe,Nervous Conditions,Tsitsi Dangarembga,,,Inglés,,1